,target
813,1
814,2
815,2
816,2
817,1
818,2
819,2
820,1
821,0
822,0
823,2
824,2
825,2
826,2
827,1
828,1
829,1
830,0
831,2
832,1
833,1
834,1
835,2
836,2
837,1
838,2
839,2
840,2
841,2
842,2
843,0
844,2
845,2
846,0
847,1
848,1
849,1
850,1
851,1
852,1
853,2
854,1
855,1
856,1
857,1
858,1
859,2
860,1
861,1
862,1
863,1
864,0
865,1
866,0
867,0
868,1
869,2
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,0
879,0
880,1
881,1
882,0
883,2
884,2
885,1
886,1
887,2
888,1
889,2
890,1
891,1
892,1
893,1
894,2
895,1
896,1
897,1
898,2
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,2
907,1
908,1
909,1
910,2
911,1
912,2
913,1
914,1
915,2
916,1
917,2
918,2
919,2
920,2
921,1
922,2
923,2
924,2
925,2
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,2
936,2
937,2
938,1
939,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,1
949,1
950,1
951,2
952,2
953,1
954,2
955,2
956,0
957,2
958,2
959,2
960,1
961,2
962,2
963,2
964,1
965,1
966,2
967,2
968,2
969,1
970,0
971,0
972,1
973,1
974,2
975,0
976,0
977,1
978,1
979,1
980,2
981,2
982,2
983,2
984,2
985,2
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,0
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,2
1005,2
1006,1
1007,1
1008,1
1009,1
1010,0
1011,1
1012,1
1013,1
1014,2
1015,2
1016,2
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,2
1025,1
1026,2
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,2
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,2
1043,1
1044,1
1045,1
1046,2
1047,2
1048,2
1049,0
1050,2
1051,2
1052,2
1053,1
1054,1
1055,2
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,2
1063,2
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,1
1071,1
1072,1
1073,2
1074,1
1075,1
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,0
1083,2
1084,1
1085,2
1086,1
1087,2
1088,2
1089,1
1090,1
1091,2
1092,2
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,0
1102,1
1103,2
1104,1
1105,1
1106,2
1107,1
1108,1
1109,1
1110,1
1111,2
1112,1
1113,1
1114,2
1115,1
1116,1
1117,0
1118,1
1119,1
1120,1
1121,0
1122,0
1123,2
1124,2
1125,0
1126,1
1127,0
1128,1
1129,2
1130,1
1131,2
1132,2
1133,2
1134,1
1135,1
1136,0
1137,1
1138,1
1139,2
1140,1
1141,2
1142,1
1143,1
1144,2
1145,1
1146,1
1147,2
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,0
1155,2
1156,1
1157,1
1158,1
1159,0
1160,1
1161,1
1162,0
1163,1
1164,1
1165,2
1166,2
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,0
1175,1
1176,2
1177,2
1178,1
1179,1
1180,2
1181,1
1182,0
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,2
1190,2
1191,1
1192,1
1193,2
1194,1
1195,1
1196,0
1197,1
1198,1
1199,1
1200,1
1201,0
1202,2
1203,2
1204,0
1205,1
1206,2
1207,2
1208,2
1209,2
1210,0
1211,1
1212,1
1213,1
1214,1
1215,2
1216,1
1217,1
1218,0
1219,1
1220,1
1221,0
1222,1
1223,1
1224,0
1225,2
1226,2
1227,0
1228,0
1229,2
1230,2
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,0
1243,2
1244,0
1245,1
1246,2
1247,1
1248,2
1249,1
1250,2
1251,1
1252,1
1253,1
1254,0
1255,2
1256,2
1257,0
1258,0
1259,1
1260,0
1261,1
1262,2
1263,1
1264,2
1265,1
1266,1
1267,1
1268,1
1269,0
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,2
1278,2
1279,2
1280,1
1281,1
1282,2
1283,1
1284,0
1285,1
1286,2
1287,1
1288,2
1289,1
1290,1
1291,0
1292,1
1293,2
1294,2
1295,2
1296,2
1297,2
1298,0
1299,1
1300,1
1301,1
1302,0
1303,1
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
1310,1
1311,0
1312,1
1313,2
1314,2
1315,0
1316,2
1317,0
1318,1
1319,2
1320,2
1321,1
1322,1
1323,2
1324,1
1325,1
1326,0
1327,1
1328,1
1329,1
1330,1
1331,2
1332,1
1333,1
1334,1
1335,2
1336,0
1337,1
1338,2
1339,2
1340,2
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,2
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,0
1364,2
1365,0
1366,1
1367,1
1368,1
1369,1
1370,0
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,2
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,1
1404,0
1405,1
1406,2
1407,1
1408,0
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,2
1419,1
1420,1
1421,0
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,1
1454,0
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,2
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,0
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,0
1497,1
1498,1
1499,1
1500,1
1501,1
1502,0
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,0
1510,1
1511,1
1512,1
1513,1
1514,1
1515,0
1516,1
1517,1
1518,1
1519,2
1520,1
1521,1
1522,2
1523,1
1524,1
1525,2
1526,1
1527,1
1528,1
1529,1
1530,1
1531,0
1532,2
1533,1
1534,1
1535,0
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
1546,1
1547,2
1548,1
1549,0
1550,1
1551,1
1552,1
1553,0
1554,2
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,0
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,2
1570,1
1571,2
1572,2
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,0
1580,1
1581,0
1582,2
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,1
1591,0
1592,1
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,0
1603,0
1604,2
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,2
1616,2
1617,1
1618,1
1619,1
1620,1
1621,2
1622,1
1623,2
1624,1
1625,0
1626,0
1627,2
1628,1
1629,1
1630,1
1631,1
1632,2
1633,1
1634,1
1635,2
1636,0
1637,1
1638,1
1639,1
1640,1
1641,1
1642,0
1643,0
1644,1
1645,1
1646,0
1647,1
1648,1
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,0
1665,1
1666,1
1667,1
1668,1
1669,2
1670,1
1671,1
1672,1
1673,0
1674,1
1675,1
1676,1
1677,1
1678,1
1679,1
1680,1
1681,1
1682,0
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,1
1690,1
1691,2
1692,1
1693,0
1694,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,2
1705,1
1706,0
1707,1
1708,1
1709,2
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,2
1727,1
1728,0
1729,1
1730,1
1731,1
1732,1
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,0
1742,0
1743,0
1744,1
1745,1
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,2
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,0
1774,0
1775,2
1776,0
1777,1
1778,1
1779,2
1780,2
1781,1
1782,1
1783,1
1784,0
1785,2
1786,1
1787,2
1788,2
1789,1
1790,1
1791,0
1792,1
1793,1
1794,0
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,0
1807,1
1808,1
1809,1
1810,1
1811,0
1812,1
1813,1
1814,1
1815,1
1816,2
1817,1
1818,2
1819,1
1820,1
1821,1
1822,2
1823,1
1824,0
1825,1
1826,0
1827,0
1828,1
1829,1
1830,1
1831,1
1832,0
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,0
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,2
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,0
1864,1
1865,1
1866,1
1867,1
1868,2
1869,2
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,2
1879,1
1880,1
1881,0
1882,1
1883,1
1884,0
1885,1
1886,1
1887,1
1888,1
1889,0
1890,0
1891,0
1892,1
1893,1
1894,1
1895,0
1896,1
1897,1
1898,1
1899,1
1900,0
1901,1
1902,1
1903,1
1904,2
1905,1
1906,2
1907,1
1908,2
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,0
1921,2
1922,1
1923,0
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,1
1934,0
1935,0
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,0
1958,1
1959,1
1960,1
1961,0
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,0
1969,0
1970,2
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,1
1982,0
1983,1
1984,2
1985,2
1986,1
1987,0
1988,0
1989,1
1990,1
1991,2
1992,2
1993,1
1994,1
1995,1
1996,1
1997,1
1998,2
1999,1
2000,2
2001,1
2002,2
2003,1
2004,1
2005,1
2006,0
2007,1
2008,2
2009,1
2010,2
2011,1
2012,0
2013,1
2014,0
2015,1
2016,0
2017,0
2018,0
2019,0
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,1
2030,2
2031,1
2032,1
2033,2
2034,2
2035,2
2036,1
2037,1
2038,2
2039,2
2040,2
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,2
2050,2
2051,2
2052,1
2053,0
2054,0
2055,0
2056,1
2057,2
2058,1
2059,1
2060,1
2061,0
2062,1
2063,1
2064,1
2065,2
2066,1
2067,1
2068,1
2069,2
2070,2
2071,2
2072,2
2073,2
2074,0
2075,0
2076,2
2077,1
2078,1
2079,1
2080,1
2081,1
2082,2
2083,1
2084,2
2085,2
2086,1
2087,1
2088,2
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,2
2098,2
2099,0
2100,2
2101,1
2102,2
2103,2
2104,1
2105,1
2106,1
2107,0
2108,1
2109,1
2110,2
2111,2
2112,1
2113,1
2114,1
2115,1
2116,1
2117,0
2118,0
2119,1
2120,2
2121,1
2122,2
2123,2
2124,1
2125,1
2126,1
2127,0
2128,1
2129,2
2130,0
2131,1
2132,1
2133,2
2134,0
2135,1
2136,2
2137,1
2138,1
2139,1
2140,2
2141,2
2142,0
2143,2
2144,2
2145,1
2146,1
2147,2
2148,1
2149,2
2150,0
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,2
2159,1
2160,1
2161,2
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,0
2169,1
2170,2
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,0
2180,2
2181,2
2182,1
2183,0
2184,1
2185,1
2186,1
2187,0
2188,1
2189,2
2190,2
2191,2
2192,1
2193,1
2194,1
2195,1
2196,1
2197,2
2198,1
2199,0
2200,0
2201,2
2202,0
2203,2
2204,2
2205,1
2206,0
2207,2
2208,2
2209,2
2210,1
2211,1
2212,1
2213,0
2214,1
2215,1
2216,1
2217,2
2218,2
2219,0
2220,1
2221,2
2222,0
2223,2
2224,0
2225,1
2226,2
2227,1
2228,1
2229,1
2230,1
2231,1
2232,0
2233,1
2234,1
2235,2
2236,1
2237,1
2238,0
2239,1
2240,2
2241,0
2242,1
2243,2
2244,2
2245,2
2246,1
2247,1
2248,1
2249,2
2250,2
2251,1
2252,1
2253,1
2254,2
2255,2
2256,1
2257,1
2258,1
2259,1
2260,2
2261,1
2262,1
2263,2
2264,1
2265,2
2266,1
2267,2
2268,1
2269,1
2270,1
2271,1
2272,2
2273,1
2274,1
2275,1
2276,2
2277,1
2278,0
2279,1
2280,2
2281,1
2282,1
2283,1
2284,1
2285,1
2286,0
2287,2
2288,0
2289,1
2290,1
2291,1
2292,1
2293,0
2294,2
2295,2
2296,1
2297,2
2298,0
2299,0
2300,1
2301,1
2302,1
2303,1
2304,2
2305,1
2306,1
2307,0
2308,2
2309,1
2310,1
2311,1
2312,1
2313,2
2314,1
2315,2
2316,1
2317,1
2318,0
2319,0
2320,1
2321,1
2322,1
2323,2
2324,2
2325,1
2326,1
2327,1
2328,2
2329,1
2330,1
2331,1
2332,1
2333,1
2334,2
2335,0
2336,2
2337,2
2338,2
2339,2
2340,1
2341,2
2342,1
2343,1
2344,1
2345,0
2346,2
2347,0
2348,1
2349,1
2350,1
2351,0
2352,1
2353,1
2354,1
2355,1
2356,1
2357,1
2358,2
2359,0
2360,1
2361,2
2362,2
2363,1
2364,0
2365,1
2366,0
2367,0
2368,2
2369,2
2370,2
2371,1
2372,2
2373,2
2374,1
2375,1
2376,1
2377,2
2378,2
2379,2
2380,0
2381,2
2382,2
2383,2
2384,0
2385,1
2386,1
2387,0
2388,1
2389,1
2390,2
2391,0
2392,0
2393,1
2394,0
2395,2
2396,1
2397,1
2398,1
2399,1
2400,1
2401,1
2402,2
2403,0
2404,1
2405,1
2406,0
2407,2
2408,0
2409,1
2410,1
2411,0
2412,1
2413,2
2414,1
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,2
2422,1
2423,1
2424,2
2425,2
2426,1
2427,1
2428,1
2429,1
2430,0
2431,1
2432,0
2433,1
2434,1
2435,2
2436,1
2437,0
2438,1
2439,1
2440,1
2441,2
2442,2
2443,0
2444,2
2445,2
2446,1
2447,1
2448,2
2449,0
2450,1
2451,1
2452,2
2453,1
2454,1
2455,1
2456,1
2457,1
2458,1
2459,1
2460,1
2461,1
2462,2
2463,2
2464,1
2465,1
2466,1
2467,2
2468,2
2469,0
2470,2
2471,1
2472,0
2473,0
2474,2
2475,1
2476,1
2477,2
2478,2
2479,2
2480,2
2481,1
2482,1
2483,2
2484,1
2485,0
2486,1
2487,1
2488,1
2489,1
2490,1
2491,0
2492,2
2493,2
2494,1
2495,0
2496,2
2497,1
2498,1
2499,2
2500,1
2501,1
2502,2
2503,1
2504,2
2505,2
2506,2
2507,2
2508,2
2509,1
2510,2
2511,2
2512,1
2513,1
2514,1
2515,2
2516,0
2517,1
2518,1
2519,1
2520,1
2521,1
2522,1
2523,1
2524,0
2525,2
2526,1
2527,1
2528,2
2529,1
2530,2
2531,2
2532,1
2533,0
2534,2
2535,0
2536,1
2537,1
2538,2
2539,2
2540,2
2541,1
2542,0
2543,2
2544,2
2545,1
2546,1
2547,0
2548,1
2549,2
2550,2
2551,1
2552,2
2553,2
2554,0
2555,2
2556,2
2557,1
2558,1
2559,2
2560,2
2561,1
2562,1
2563,1
2564,2
2565,2
2566,2
2567,2
2568,1
2569,2
2570,1
2571,1
2572,0
2573,0
2574,1
2575,1
2576,2
2577,1
2578,0
2579,1
2580,2
2581,1
2582,1
2583,1
2584,2
2585,1
2586,1
2587,1
2588,1
2589,2
2590,2
2591,2
2592,1
2593,2
2594,1
2595,0
2596,2
2597,1
2598,1
2599,1
2600,0
2601,1
2602,2
2603,2
2604,1
2605,1
2606,0
2607,1
2608,1
2609,1
2610,0
2611,2
2612,2
2613,1
2614,1
2615,1
2616,1
2617,1
2618,0
2619,0
2620,0
2621,1
2622,1
2623,1
2624,1
2625,0
2626,1
2627,1
2628,1
2629,1
2630,1
2631,2
2632,2
2633,1
2634,0
2635,0
2636,2
2637,1
2638,1
2639,0
2640,2
2641,0
2642,1
2643,2
2644,1
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,2
2652,2
2653,2
2654,1
2655,2
2656,2
2657,2
2658,0
2659,1
2660,1
2661,2
2662,0
2663,2
2664,2
2665,1
2666,1
2667,0
2668,0
2669,1
2670,1
2671,1
2672,1
2673,1
2674,0
2675,1
2676,2
2677,1
2678,2
2679,0
2680,1
2681,1
2682,1
2683,0
2684,1
2685,1
2686,2
2687,1
2688,1
2689,1
2690,1
2691,2
2692,2
2693,1
2694,1
2695,1
2696,1
2697,1
2698,2
2699,1
2700,2
2701,1
2702,0
2703,2
2704,1
2705,1
2706,1
2707,1
2708,2
2709,2
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
2719,1
2720,2
2721,2
2722,1
2723,1
2724,2
2725,1
2726,1
2727,1
2728,2
2729,1
2730,0
2731,1
2732,2
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,0
2740,1
2741,2
2742,2
2743,0
2744,1
2745,2
2746,0
2747,0
2748,2
2749,1
2750,1
2751,1
2752,0
2753,0
2754,1
2755,1
2756,1
2757,0
2758,2
2759,1
2760,0
2761,2
2762,2
2763,2
2764,1
2765,1
2766,0
2767,1
2768,2
2769,0
2770,2
2771,0
2772,1
2773,0
2774,1
2775,1
2776,2
2777,1
2778,2
2779,1
2780,2
2781,2
2782,2
2783,2
2784,2
2785,1
2786,1
2787,1
2788,2
2789,0
2790,1
2791,1
2792,0
2793,0
2794,1
2795,1
2796,0
2797,2
2798,2
2799,2
2800,1
2801,1
2802,2
2803,1
2804,2
2805,1
2806,1
2807,1
2808,0
2809,0
2810,0
2811,0
2812,1
2813,2
2814,1
2815,2
2816,1
2817,0
2818,1
2819,2
2820,1
2821,1
2822,1
2823,1
2824,2
2825,1
2826,2
2827,0
2828,2
2829,2
2830,1
2831,1
2832,1
2833,0
2834,2
2835,1
2836,1
2837,1
2838,0
2839,1
2840,1
2841,2
2842,2
2843,2
2844,1
2845,1
2846,0
2847,0
2848,2
2849,0
2850,0
2851,1
2852,1
2853,2
2854,1
2855,2
2856,2
2857,1
2858,1
2859,1
2860,1
2861,2
2862,1
2863,1
2864,1
2865,1
2866,2
2867,0
2868,1
2869,1
2870,2
2871,1
2872,1
2873,1
2874,2
2875,2
2876,0
2877,1
2878,1
2879,0
2880,1
2881,2
2882,1
2883,1
2884,1
2885,1
2886,2
2887,1
2888,1
2889,1
2890,1
2891,1
2892,1
2893,1
2894,2
2895,0
2896,1
2897,1
2898,2
2899,1
2900,1
2901,1
2902,2
2903,1
2904,1
2905,1
2906,0
2907,2
2908,2
2909,0
2910,2
2911,1
2912,1
2913,2
2914,1
2915,2
2916,0
2917,0
2918,2
2919,1
2920,1
2921,0
2922,2
2923,1
2924,2
2925,1
2926,1
2927,0
2928,0
2929,1
2930,1
2931,2
2932,1
2933,1
2934,0
2935,1
2936,2
2937,1
2938,0
2939,0
2940,2
2941,2
2942,0
2943,1
2944,1
2945,1
2946,1
2947,1
2948,0
2949,1
2950,2
2951,1
2952,0
2953,1
2954,2
2955,1
2956,1
2957,2
2958,1
2959,2
2960,2
2961,1
2962,1
2963,2
2964,1
2965,2
2966,0
2967,1
2968,1
2969,0
2970,1
2971,2
2972,2
2973,1
2974,1
2975,1
2976,1
2977,2
2978,0
2979,2
2980,1
2981,2
2982,1
2983,1
2984,1
2985,0
2986,0
2987,0
2988,2
2989,2
2990,1
2991,1
2992,0
2993,1
2994,1
2995,2
2996,1
2997,2
